대여소번호,시간대,대여가능수량,보관소(대여소)명,설치대수,거치율,geometry,CELL_ID,CELL_X,CELL_Y,GID,LBL,VAL
140,19,16.0, 이화여대 후문,44.0,36.36363636363637,POINT (126.94073486 37.560009),다사50505125,950625,1951375,다사50ba51ab,6442441.88,6442441.88
141,7,9.666666666666666, 연대 대운동장 옆,30.0,32.22222222222222,POINT (126.93264771 37.56238174),다사49755150,949875,1951625,다사49bb51ba,3793553.51,3793553.51
141,8,10.0, 연대 대운동장 옆,30.0,33.33333333333333,POINT (126.93264771 37.56238174),다사49755150,949875,1951625,다사49bb51ba,3793553.51,3793553.51
141,18,10.0, 연대 대운동장 옆,30.0,33.33333333333333,POINT (126.93264771 37.56238174),다사49755150,949875,1951625,다사49bb51ba,3793553.51,3793553.51
141,19,8.666666666666666, 연대 대운동장 옆,30.0,28.88888888888889,POINT (126.93264771 37.56238174),다사49755150,949875,1951625,다사49bb51ba,3793553.51,3793553.51
142,7,0.0, 아현역 4번출구 앞,11.0,0.0,POINT (126.95566559 37.55720139),다사51755100,951875,1951125,다사51bb51aa,6318322.46,6318322.46
142,8,0.0, 아현역 4번출구 앞,11.0,0.0,POINT (126.95566559 37.55720139),다사51755100,951875,1951125,다사51bb51aa,6318322.46,6318322.46
142,18,3.0, 아현역 4번출구 앞,11.0,27.27272727272727,POINT (126.95566559 37.55720139),다사51755100,951875,1951125,다사51bb51aa,6318322.46,6318322.46
142,19,3.0, 아현역 4번출구 앞,11.0,27.27272727272727,POINT (126.95566559 37.55720139),다사51755100,951875,1951125,다사51bb51aa,6318322.46,6318322.46
143,7,7.0, 공덕역 2번출구,9.0,77.77777777777779,POINT (126.9502182 37.54457855),다사51254950,951375,1949625,다사51ab49ba,11600066.54,11600066.54
143,8,5.0, 공덕역 2번출구,9.0,55.55555555555556,POINT (126.9502182 37.54457855),다사51254950,951375,1949625,다사51ab49ba,11600066.54,11600066.54
143,18,10.0, 공덕역 2번출구,9.0,111.11111111111111,POINT (126.9502182 37.54457855),다사51254950,951375,1949625,다사51ab49ba,11600066.54,11600066.54
143,19,10.333333333333334, 공덕역 2번출구,9.0,114.8148148148148,POINT (126.9502182 37.54457855),다사51254950,951375,1949625,다사51ab49ba,11600066.54,11600066.54
144,7,27.0, 공덕역 8번출구,10.0,270.0,POINT (126.95132446 37.5435791),다사51504950,951625,1949625,다사51ba49ba,13776867.55,13776867.55
144,8,17.5, 공덕역 8번출구,10.0,175.0,POINT (126.95132446 37.5435791),다사51504950,951625,1949625,다사51ba49ba,13776867.55,13776867.55
144,18,12.5, 공덕역 8번출구,10.0,125.0,POINT (126.95132446 37.5435791),다사51504950,951625,1949625,다사51ba49ba,13776867.55,13776867.55
144,19,10.0, 공덕역 8번출구,10.0,100.0,POINT (126.95132446 37.5435791),다사51504950,951625,1949625,다사51ba49ba,13776867.55,13776867.55
145,7,7.0, 공덕역 5번출구,9.0,77.77777777777779,POINT (126.95163727 37.54425049),다사51504950,951625,1949625,다사51ba49ba,13776867.55,13776867.55
145,8,7.166666666666667, 공덕역 5번출구,9.0,79.62962962962963,POINT (126.95163727 37.54425049),다사51504950,951625,1949625,다사51ba49ba,13776867.55,13776867.55
145,18,5.666666666666667, 공덕역 5번출구,9.0,62.96296296296296,POINT (126.95163727 37.54425049),다사51504950,951625,1949625,다사51ba49ba,13776867.55,13776867.55
145,19,6.166666666666667, 공덕역 5번출구,9.0,68.51851851851852,POINT (126.95163727 37.54425049),다사51504950,951625,1949625,다사51ba49ba,13776867.55,13776867.55
146,7,21.666666666666668, 마포역 2번출구 뒤,12.0,180.5555555555556,POINT (126.94582367 37.53993607),다사51004900,951125,1949125,다사51aa49aa,13994543.3,13994543.3
146,8,21.666666666666668, 마포역 2번출구 뒤,12.0,180.5555555555556,POINT (126.94582367 37.53993607),다사51004900,951125,1949125,다사51aa49aa,13994543.3,13994543.3
146,18,10.333333333333334, 마포역 2번출구 뒤,12.0,86.11111111111111,POINT (126.94582367 37.53993607),다사51004900,951125,1949125,다사51aa49aa,13994543.3,13994543.3
146,19,11.0, 마포역 2번출구 뒤,12.0,91.66666666666666,POINT (126.94582367 37.53993607),다사51004900,951125,1949125,다사51aa49aa,13994543.3,13994543.3
147,7,12.5, 마포역 4번출구 뒤,14.0,89.28571428571429,POINT (126.94591522 37.53927231),다사51004900,951125,1949125,다사51aa49aa,13994543.3,13994543.3
147,8,13.833333333333334, 마포역 4번출구 뒤,14.0,98.8095238095238,POINT (126.94591522 37.53927231),다사51004900,951125,1949125,다사51aa49aa,13994543.3,13994543.3
147,18,9.833333333333334, 마포역 4번출구 뒤,14.0,70.23809523809524,POINT (126.94591522 37.53927231),다사51004900,951125,1949125,다사51aa49aa,13994543.3,13994543.3
147,19,12.666666666666666, 마포역 4번출구 뒤,14.0,90.47619047619048,POINT (126.94591522 37.53927231),다사51004900,951125,1949125,다사51aa49aa,13994543.3,13994543.3
148,7,16.5, 용강동 주민센터 앞,22.0,75.0,POINT (126.94302368 37.54234695),다사50754925,950875,1949375,다사50bb49ab,6701800.49,6701800.49
148,8,17.0, 용강동 주민센터 앞,22.0,77.27272727272727,POINT (126.94302368 37.54234695),다사50754925,950875,1949375,다사50bb49ab,6701800.49,6701800.49
148,18,16.333333333333332, 용강동 주민센터 앞,22.0,74.24242424242424,POINT (126.94302368 37.54234695),다사50754925,950875,1949375,다사50bb49ab,6701800.49,6701800.49
148,19,16.0, 용강동 주민센터 앞,22.0,72.72727272727273,POINT (126.94302368 37.54234695),다사50754925,950875,1949375,다사50bb49ab,6701800.49,6701800.49
150,7,15.0, 서강대역 2번출구 앞,30.0,50.0,POINT (126.93434143 37.55295563),다사50005050,950125,1950625,다사50aa50ba,9655536.03,9655536.03
150,8,16.333333333333332, 서강대역 2번출구 앞,30.0,54.44444444444444,POINT (126.93434143 37.55295563),다사50005050,950125,1950625,다사50aa50ba,9655536.03,9655536.03
150,18,20.0, 서강대역 2번출구 앞,30.0,66.66666666666666,POINT (126.93434143 37.55295563),다사50005050,950125,1950625,다사50aa50ba,9655536.03,9655536.03
150,19,18.0, 서강대역 2번출구 앞,30.0,60.0,POINT (126.93434143 37.55295563),다사50005050,950125,1950625,다사50aa50ba,9655536.03,9655536.03
153,7,6.5, 성산2교 사거리,10.0,65.0,POINT (126.91261292 37.56469727),다사48005175,948125,1951875,다사48aa51bb,5488537.79,5488537.79
